"","array","month.day","temp.avg","hum.avg","dew.pt.avg","light.avg","light.min","light.max","temp.min","temp.max","temp.std","light.std","dew.pt.std","hum.std","hum.max","hum.min","dp.max","dp.min","daynum","grove"
"43","Cluster","02-12",10.0450277777778,69.8038194444444,3.92881944444444,9109.26215277778,0,93689.5,1.872,22.429,5.15457062959975,16981.2666003589,2.54448286033126,14.7831203533598,93.5,36,8.5,0.2,74,"OC"
"44","Cluster","02-13",14.36075,72.2899305555556,8.79965277777778,4755.65243055556,0,77156.1,8.879,18.616,2.66293520955985,9300.72428349293,3.23487634479661,10.3696556779952,92.5,39.5,12.3,0.5,75,"OC"
"45","Cluster","02-14",14.0100590277778,94.4340277777778,12.6381944444444,5274.60138888889,0,126756.4,9.373,19.472,2.50644816228698,12253.1083389648,1.95968057298182,6.29286597010397,100,78.5,15.3,8.5,76,"OC"
"46","Cluster","02-15",11.0385486111111,98.5972222222222,10.0371527777778,8529.01736111111,0,137778.7,5.962,29.252,4.2100947481701,20277.6998845562,2.35042620886877,2.46351621015422,101.5,88.5,15.9,6.1,77,"OC"
"47","Cluster","02-16",11.8865763888889,85.7152777777778,7.92152777777778,25671.2232638889,0,170845.6,4.831,29.352,6.81140109055722,49116.2245529669,3.43152353267805,14.4089297682176,102.5,53.5,16.9,5,78,"OC"
"48","Cluster","02-17",8.81923611111111,90.9114583333333,6.40451388888889,13343.4621527778,0,187379,3.367,23.004,4.81003511397951,31634.3553152214,2.90881403083946,6.16243316676483,100.5,71.5,14.1,2.4,79,"OC"
"49","Cluster","02-18",6.024376,84.112,1.88,34159.6384,0,187379,1.221,21.282,6.88464372384353,66164.8597857993,0.908295106229247,18.1488984825259,98,40,4.4,0.7,80,"OC"
"50","Cluster","12-01",6.60591666666667,94.2083333333333,5.81666666666667,0,0,0,6.064,6.978,0.383261234985257,0,0.458918359412718,0.655686085275753,95,93,6.3,5,1,"OC"
"51","Cluster","12-02",12.4251111111111,67.2083333333333,4.92604166666667,25141.5819444444,0,170845.6,3.998,32.497,7.4127040697199,46975.0568094334,1.45642238328604,20.1049511124362,96,26,9.5,2,2,"OC"
"52","Cluster","12-03",13.6564930555556,60.125,4.59027777777778,24258.9763888889,0,176356.7,5.141,31.268,6.86432128246786,45521.6304231579,1.5781972445736,16.884264781522,85.5,26,8.4,1.8,3,"OC"
"53","Cluster","12-04",12.2007291666667,63.9131944444444,5.14583333333333,1530.76111111111,0,11711.2,6.268,16.237,2.89668239938544,2446.44795913182,1.23431624204085,11.5050102494569,88,46,8.5,3.2,4,"OC"
"54","Cluster","12-05",15.0645763888889,66.6371527777778,8.52673611111111,6071.58402777778,0,154312.1,11.722,25.416,2.53517220296256,21618.3625073482,2.14403323400483,10.1887812296279,87.5,46.5,13.2,4.4,5,"OC"
